22.791,7.772,8.427,7.862,7.819,7.327,3.317,6.091,4.593,3.613,6.385,6.202,4.844,5.054,2.914,3.831,3.628,3.209,3.652,4.394,3.1,7.88,2.4,3.125
30.385,7.512,6.434,5.561,2.699,1.993,2.103,2.422,2.509,3.083,2.599,2.423,2.312,1.916,1.796,2.674,2.013,2.455,2.744,3,2.026,2.918,2.341,2.392
11.597,9.063,6.055,5.008,3.92,4.44,5.288,7.192,8.936,8.216,12.056,4.992,14.36,4.784,3.889,8.319,9.327,6.48,5.904,3.112,9.496,7.76,4.984,8.129
10.46,2.866,2.901,3.7,3.143,4.141,2.931,2.257,2.86,2.198,3.167,3.746,4.772,5.108,2.768,5.985,2.553,2.723,2.528,4.497,3.56,4.973,2.826,2.643
15.28,5.823,4.253,3.574,2.939,3.109,3.887,3.147,3.406,3.002,2.531,2.957,2.858,2.275,3.442,2.958,2.476,3.147,2.75,2.401,2.314,2.819,3.889,2.378
5.432,3.054,1.638,2.377,2.531,1.809,3.856,3.64,2.165,2.009,3.616,4.034,3.002,2.142,1.751,2.687,2.301,2.81,1.865,2.457,2.613,1.631,1.469,1.841
19.468,4.718,5.187,3.451,3.723,3.348,4.708,4.542,3.779,2.175,4.161,3.967,5.229,3.472,2.133,3.47,2.85,3.272,2.388,2.455,2.416,2.182,2.027,2.37
12.066,5.233,1.651,4.705,3.2,2.693,4.142,3.168,2.005,4.175,2.401,2.677,2.691,2.16,1.491,2,2.559,2.018,2.509,1.789,1.474,1.785,1.567,1.558
19.375,5.754,14.518,9.29,4.097,3.431,4.473,3.035,4.368,3.206,3.857,6.795,18.106,7.767,8.678,8.373,8.02,17.873,9.931,4.945,9.307,3.937,3.487,3.505
10.361,18.968,4.036,3.567,22.18,14.241,4.28,2.261,4.074,4.163,1.905,1.986,2.469,3.23,3.154,3.11,8.841,2.64,3.491,2.388,4.539,15.961,2.19,2.077
41.604,20.19,16.97,20.039,11.759,16.017,20.696,12.584,13.512,8.059,5.542,12.687,19.504,15.351,7.32,13.049,8.351,3.313,7.943,5.512,7.344,6.96,8.481,8.153
18.004,14.769,10.731,5.254,3.849,7.09,8.875,4.614,5.713,5.446,4.778,4.426,4.518,7.695,3.793,4.608,4.398,3.647,6.513,5.026,4.397,4.345,3.685,5.142
7.758,2.783,2.217,3.848,3.313,5.06,3.313,6.245,2.061,2.109,4.561,4.394,5.318,22.143,2.421,9.602,9.512,4.699,2.382,2.436,3.018,1.791,2.424,3.941
5.084,4.934,3.143,3.021,6.196,9.322,2.648,3.082,12.185,4.503,10.362,2.468,2.478,2.756,3.782,10.848,3.719,4.783,4.133,20.452,3.582,8.661,10.633,30.029
12.844,5.251,3.787,9.416,5.506,5.38,4.406,5.338,4.089,3.161,3.522,5.545,3.872,3.922,5.271,3.189,2.381,3.034,4.72,1.963,2.991,1.84,2.286,1.541
11.485,8.202,5.759,5.071,10.266,4.294,5.531,4.385,12.616,4.883,4.557,6.234,2.926,4.074,3.723,5.943,3.481,4.386,6.079,5.042,6.442,3.859,12.787,4.295
30.568,13.088,5.837,4.465,7.781,2.435,2.804,4.344,2.903,3.398,4.7,3.368,5.349,2.652,2.768,2.867,3.715,2.582,2.338,1.968,2.365,3.033,2.667,3.016
6.189,3.782,2.062,2.77,2.738,2.23,3.501,3.417,1.972,2.061,3.027,4.006,2.999,2.602,2.44,3.193,2.66,2.384,2.531,2.076,2.189,2.683,1.877,2.156
15.335,7.519,6.335,7.672,4.008,3.355,3.203,5.496,4.096,2.647,7.016,4.672,2.92,3.447,2.177,5.312,4.425,6.59,2.241,4.912,2.937,3.546,3.981,3.264
21.322,14.908,16.172,26.596,3.847,11.28,6.361,3.198,15.608,4.465,2.666,2.565,6.216,6.317,3.041,3.413,3.178,3.446,4.55,4.047,4.276,2.839,2.825,2.054
14.619,5.999,5.202,4.769,6.187,3.987,4.299,5.499,3.034,2.729,3.049,5.637,4.276,5.132,3.186,4.405,3.409,4.674,2.639,3.691,3.425,2.354,2.471,3.52
36.572,10.317,2.629,2.995,4.715,2.723,7.146,4.087,6.837,2.167,1.86,2.247,1.801,2.416,1.874,1.787,1.589,2.108,9.262,1.567,1.536,1.582,1.692,1.521
35.359,20.404,11.681,10.38,9.898,7.38,18.148,18.671,11.371,6.218,8.696,13.994,9.443,11.832,5.065,8.874,8.311,7.914,8.503,6.189,5.549,5.746,6.156,6.872
24.559,7.064,3.851,2.969,3.673,3.168,5.17,3.386,2.943,2.257,2.201,3.913,5.541,4.16,2.042,2.537,2.648,2.645,2.092,2.35,2.11,2.034,2.302,2.225
22.992,12.097,5.826,4.454,8.132,3.454,7.273,6.393,18.418,3.304,2.962,8.017,4.294,15.098,6.825,6.153,3.048,10.025,11.577,3.753,3.471,2.633,2.417,3.784
28.168,5.857,5.734,6.181,5.194,5.191,6.901,22.651,4.083,5.674,7.491,10.562,5.715,3.966,4.645,4.525,4.854,8.879,3.484,2.61,5.242,4.812,2.859,6.199
18.704,7.959,2.609,2.416,4.787,4.165,6.125,2.046,3.111,3.074,1.349,1.946,1.618,1.972,1.359,1.224,1.336,1.36,2.119,1.188,1.335,1.544,1.678,1.191
22.975,6.159,3.688,4.048,4.928,4.936,4.912,4.4,4.12,2.648,2.976,5.696,4.464,3.16,2.712,3.552,2.92,6.352,2.584,3.608,2.992,3.208,2.6,3.073
14.907,8.481,9.252,10.086,8.442,7.63,6.453,6.088,7.334,3.562,3.478,6.337,4.962,4.152,5.282,6.559,4.253,6.527,3.214,3.671,9.302,3.461,6.088,5.469
194.025,13.814,5.519,11.751,7.509,4.342,6.12,12.064,5.009,4.691,4.174,16.156,6.4,4.983,6.011,7.926,4.138,9.133,12.822,67.845,5.102,3.009,7.358,6.429
11.913,6.415,7.317,5.289,3.496,3.74,3.841,7.387,3.856,5.044,5.228,3.133,3.127,12.224,2.515,3.445,5.58,3.696,15.364,5.732,13.42,2.9,5.664,3.293
54.76,19.246,6.716,3.99,4.659,2.776,2.875,1.744,2.812,2.143,1.524,4.749,4.785,1.284,1.417,1.664,5.993,4.227,2.039,3.693,1.45,1.336,0.96,1.308
23.436,3.173,2.025,12.004,4.85,2.868,5.392,4.701,3.871,1.688,4.29,9.204,3.117,3.825,2.061,3.098,5.994,3.326,5.923,2.508,2.18,2.316,2.298,1.767
42.756,9.562,11.061,6.298,12.132,6.541,21.387,21.173,9.922,3.166,3.131,23.427,13.597,21.547,4.842,6.072,2.695,5.547,3.914,5.734,10.344,9.38,3.672,17.58
25.119,8.419,13.497,20.116,6.791,5.366,15.36,6.538,7.09,5.908,9.363,7.847,6.467,5.917,4.735,17.938,6.103,6.74,21.981,5.67,3.484,5.584,10.643,9.582
24.986,7.064,5.264,9.712,4.088,5.167,6.097,3.609,8.159,8.44,4.824,7.911,8.488,3.792,5.297,3.256,4.243,6.869,6.384,13.32,3.544,24.999,4.908,3.468
15.617,10.534,2.849,2.761,5.535,4.853,4.002,4.197,2.543,2.885,2.639,5.475,4.347,3.562,2.481,3.389,3.426,2.88,2.688,2.178,3.66,3.376,3.94,2.1
12.741,7.332,4.69,4.71,5.549,3.755,5.903,14.578,6.197,4.018,5.035,3.935,10.046,5.019,2.785,4.214,5.601,9.352,2.666,3.558,3.057,4.45,3.868,2.499
9.342,9.341,6.007,7.441,4.574,4.996,5.336,5.17,5.308,3.119,8.719,8.605,6.82,3.304,5.183,5.933,6.15,9.484,5.002,3.633,3.771,4.175,3.61,3.321
11.054,10.984,6.282,5.412,3.119,6.969,3.112,3.88,2.867,3.821,16.099,2.886,2.679,2.848,4.544,3.168,3.676,1.972,3.872,2.216,2.312,3.008,3.44,2.152
31.083,17.665,10.133,10.594,10.655,7.572,8.16,11.769,8.129,6.403,10.393,13.64,5.835,6.564,5.127,8.945,7.199,7.81,7.088,9.086,5.865,11.548,10.095,6.936
36.441,5.86,4.447,6.016,17.808,4.433,5.972,3.668,2.384,3.578,8.81,4.117,3.655,3.982,2.948,3.983,3.129,2.385,7.67,2.914,3.769,7.953,3.41,2.935
18.802,7.446,4.559,15.179,9.197,6.054,9.296,8.483,4.866,9.135,4.911,4.454,7.047,4.095,9.631,6.794,8.003,5.574,3.206,5.668,7.21,5.284,4.359,5.66
8.202,9.353,3.206,4.681,2.702,2.397,3.631,1.718,2.63,2.147,3.865,4.003,2.432,1.584,1.427,1.268,2.265,1.599,1.897,1.5,1.351,1.343,1.439,1.265
87.672,13.956,18.336,28.561,28.26,17.271,8.995,29.474,30.066,7.22,6.403,6.653,12.223,11.626,7.286,7.589,5.364,8.192,5.742,9.537,7.332,6.774,4.827,4.105
5.583,5.867,2.693,2.913,3.067,2.205,3.687,3.337,2.217,1.662,3.16,3.288,2.9,2.588,1.769,2.483,2.98,2.827,2.061,2.135,2.81,2.352,2.055,3.001
19.735,12.397,3.012,3.361,3.748,6.389,3.413,3.248,3.264,2.082,3.156,3.412,3.307,2.775,1.988,2.996,2.758,2.333,1.857,1.917,2.512,3.021,1.934,1.666
71.43,25.023,26.408,15.1,14.108,15.715,12.267,40.653,13.295,24.212,26.231,12.568,15.065,26.135,27.603,29.267,27.716,31.232,85.891,17.036,16.923,13.725,13.999,13.272
28.835,7.527,11.486,12.928,9.81,11.062,8.04,7.269,11.01,9.824,4.708,8.852,12.859,7.093,9.849,5.946,10.37,20.34,9.225,6.326,4.841,3.8,4.169,4.315
36.335,14.918,4.516,11.942,4.562,3.418,2.825,3.703,2.494,1.687,2.124,2.641,2.708,1.614,1.79,2.813,8.477,5.599,2.312,1.49,1.705,2.494,1.97,2.806
21.095,4.527,20.02,18.196,6.571,13.601,14.764,6.064,4.306,9.343,5.88,18.315,4.59,4.18,4.503,4.8,7.417,6.338,3.746,5.151,5.988,8.484,8.567,4.403
15.427,4.892,5.394,4.478,3.353,3.316,3.615,3.182,2.603,3.454,3.249,3.107,3.134,2.696,2.289,2.633,3.633,2.491,2.669,2.902,2.524,3.673,2.271,2.621
13.154,21.889,5.082,5.159,4.626,5.968,4.299,6.132,4.592,6.974,4.115,5.025,3.862,2.801,4.836,3.982,3.174,3.214,2.644,8.492,3.3,5.329,2.812,4.013
